chargeback_id,txn_date,wholesaler,customer_id,contract_type,ndc,ndc_description,rate_class,pricing_unit,quantity,wac_per_unit,claimed_contract_price,chargeback_amount,error_type,is_invalid
CB2005775,2024-10-15,McKesson,CUST1059,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,3772,0.81871,0.59283,852.02,VALID,0
CB2007834,2025-02-20,CardinalHealth,CUST1022,GPO,50268004911,ABACAVIR 300 MG TABLET,G,EA,4645,0.66792,0.52031,685.65,VALID,0
CB2010462,2024-09-18,Cencora,CUST1038,IDN,00378410591,ABACAVIR 300 MG TABLET,G,EA,1238,0.72723,0.57793,184.83,VALID,0
CB2002072,2024-10-13,CardinalHealth,CUST1052,340B,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,1479,43.29511,19.1451,35717.86,VALID,0
CB2004538,2024-10-04,Cencora,CUST1021,GPO,50268004911,ABACAVIR 300 MG TABLET,G,EA,4870,0.66792,0.49834,825.85,VALID,0
CB2002273,2024-12-10,Cencora,CUST1013,GPO,50268004911,ABACAVIR 300 MG TABLET,G,EA,3548,0.66792,0.48418,651.91,VALID,0
CB2008834,2024-12-16,Cencora,CUST1021,GPO,24385005452,12HR NASAL DECONGEST ER 120 MG,G,EA,3685,0.30716,0.22917,287.39,VALID,0
CB2003027,2024-10-29,CardinalHealth,CUST1007,GPO,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,2125,1.60408,1.22119,813.64,VALID,0
CB2007597,2025-04-26,Cencora,CUST1003,GPO,50268004911,ABACAVIR 300 MG TABLET,G,EA,4802,0.66792,0.52492,686.69,VALID,0
CB2003897,2024-07-11,McKesson,CUST1030,IDN,00378410591,ABACAVIR 300 MG TABLET,G,EA,319,0.72723,0.59015,43.73,VALID,0
CB2005892,2024-08-06,Cencora,CUST1027,IDN,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,591,6.69193,4.76666,1137.83,VALID,0
CB2004364,2025-04-28,McKesson,CUST1030,IDN,70000036201,24HR ALLERGY(LEVOCETIRZN) 5 MG,G,EA,1134,0.22114,0.17946,47.27,VALID,0
CB2010295,2024-06-30,McKesson,CUST1026,GPO,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,3651,0.08208,0.05767,89.12,VALID,0
CB2000282,2024-09-03,CardinalHealth,CUST1058,IDN,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,672,1.60408,1.3678,158.78,VALID,0
CB2001912,2024-12-24,McKesson,CUST1051,340B,50268004911,ABACAVIR 300 MG TABLET,G,EA,1404,0.66792,0.36929,419.28,VALID,0
CB2009975,2024-09-15,CardinalHealth,CUST1034,340B,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,3845,1740.91629,735.53713,3865682.87,VALID,0
CB2001300,2025-04-30,Cencora,CUST1025,340B,70000060701,24HR ALLERGY-CONGST 180-240 MG,G,EA,4546,1.00093,0.56412,1985.74,VALID,0
CB2003050,2024-10-30,McKesson,CUST1016,IDN,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,4018,6.69193,4.2835,9677.07,VALID,0
CB2007040,2024-11-09,CardinalHealth,CUST1000,GPO,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,2023,0.08208,0.06383,36.92,VALID,0
CB2003614,2025-05-29,CardinalHealth,CUST1031,IDN,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,549,1740.91629,1218.98959,286537.76,VALID,0
CB2005691,2025-04-16,Cencora,CUST1013,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,811,0.81871,0.59348,182.66,VALID,0
CB2004597,2024-07-10,Cencora,CUST1021,GPO,51672206200,3-DAY VAGINAL CREAM,G,GM,4057,0.33373,0.249,343.75,VALID,0
CB2001292,2024-12-13,McKesson,CUST1045,GPO,24385005452,12HR NASAL DECONGEST ER 120 MG,G,EA,3244,0.30716,0.20359,335.98,VALID,0
CB2000017,2024-07-13,McKesson,CUST1038,IDN,24385005452,12HR NASAL DECONGEST ER 120 MG,G,EA,3620,0.30716,0.2441,228.28,VALID,0
CB2010512,2025-05-10,Cencora,CUST1035,GPO,70000060701,24HR ALLERGY-CONGST 180-240 MG,G,EA,552,1.00093,0.7498,138.62,VALID,0
CB2002293,2024-08-23,Cencora,CUST1048,340B,50268004911,ABACAVIR 300 MG TABLET,G,EA,2288,0.66792,0.3721,676.84,VALID,0
CB2006494,2024-12-25,CardinalHealth,CUST1049,IDN,31722055760,ABACAVIR 300 MG TABLET,G,EA,1262,0.72957,0.57337,197.12,VALID,0
CB2005529,2024-09-27,McKesson,CUST1037,GPO,70000060701,24HR ALLERGY-CONGST 180-240 MG,G,EA,1650,1.00093,0.7553,405.29,VALID,0
CB2002005,2025-05-31,McKesson,CUST1030,IDN,70000060701,24HR ALLERGY-CONGST 180-240 MG,G,EA,3808,1.00093,0.81225,718.49,VALID,0
CB2007651,2025-04-23,CardinalHealth,CUST1012,340B,00378410591,ABACAVIR 300 MG TABLET,G,EA,760,0.72723,0.4223,231.75,VALID,0
CB2009960,2024-09-16,CardinalHealth,CUST1044,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,4399,0.81871,0.56172,1130.5,VALID,0
CB2009074,2024-09-18,McKesson,CUST1011,GPO,00378410591,ABACAVIR 300 MG TABLET,G,GM,616,0.72723,0.54033,115.13,UNIT_MISMATCH,1
CB2002410,2024-11-02,McKesson,CUST1053,GPO,31722055760,ABACAVIR 300 MG TABLET,G,EA,4962,0.72957,0.52113,1034.28,VALID,0
CB2006887,2024-11-13,CardinalHealth,CUST1056,GPO,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,796,6.69193,4.05464,2099.28,VALID,0
CB2007157,2024-12-16,Cencora,CUST1039,340B,70000060701,24HR ALLERGY-CONGST 180-240 MG,G,EA,2915,1.00093,0.47494,1533.26,VALID,0
CB2001583,2024-08-13,CardinalHealth,CUST1009,IDN,70000036201,24HR ALLERGY(LEVOCETIRZN) 5 MG,G,EA,654,0.22114,0.17134,32.57,VALID,0
CB2004688,2025-05-19,CardinalHealth,CUST1039,340B,70000036201,24HR ALLERGY(LEVOCETIRZN) 5 MG,G,EA,2769,0.22114,0.10493,321.79,VALID,0
CB2007412,2025-03-06,Cencora,CUST1038,IDN,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,ML,2881,1.60408,1.27476,948.77,UNIT_MISMATCH,1
CB2000662,2025-01-24,McKesson,CUST1036,GPO,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,3810,0.08208,0.06236,75.13,VALID,0
CB2002549,2024-11-03,McKesson,CUST1051,340B,51672206200,3-DAY VAGINAL CREAM,G,GM,3533,0.33373,0.18452,527.16,VALID,0
CB2003773,2024-09-25,CardinalHealth,CUST1039,340B,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,3466,0.81871,0.38848,1491.18,VALID,0
CB2003701,2024-09-22,McKesson,CUST1026,GPO,00186504031,ESOMEPRAZOLE BRAND 40 MG CAP,B,EA,3941,12.61133,8.24277,17216.49,VALID,0
CB2000372,2025-03-21,CardinalHealth,CUST1050,340B,24385005452,12HR NASAL DECONGEST ER 120 MG,G,EA,2017,0.30716,0.16845,279.78,VALID,0
CB2008261,2030-01-01,McKesson,CUST1048,340B,50268004911,ABACAVIR 300 MG TABLET,G,EA,772,0.66792,0.3721,228.37,EXPIRED_CONTRACT,1
CB2000396,2025-05-19,CardinalHealth,CUST1059,GPO,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,429,0.08208,0.05943,9.72,VALID,0
CB2011672,2024-08-22,McKesson,CUST1001,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,469,0.81871,0.62451,91.08,VALID,0
CB2011043,2024-09-02,CardinalHealth,CUST1029,GPO,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,2319,43.29511,22.9116,47269.35,PRICE_MISMATCH,1
CB9900081,2025-05-13,CardinalHealth,CUST1003,GPO,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,3357,43.29511,28.75228,48820.28,DUPLICATE,1
CB2006640,2025-02-23,Cencora,CUST1049,IDN,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,1235,1740.91629,1210.4591,655114.63,VALID,0
CB9900066,2024-06-18,Cencora,CUST1047,340B,00378410591,ABACAVIR 300 MG TABLET,G,EA,4358,0.72723,0.39052,1467.38,DUPLICATE,1
CB2011007,2024-08-20,CardinalHealth,CUST1046,340B,00378410591,ABACAVIR 300 MG TABLET,G,GM,436,0.72723,0.36223,159.14,UNIT_MISMATCH,1
CB2003449,2025-02-19,McKesson,CUST1025,340B,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,852,43.29511,21.141,18875.3,VALID,0
CB2000112,2024-09-12,Cencora,CUST1000,GPO,00186504031,ESOMEPRAZOLE BRAND 40 MG CAP,B,EA,4817,12.61133,8.14314,21523.27,VALID,0
CB2006799,2024-12-10,Cencora,CUST1026,GPO,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,3935,43.29511,28.29768,59014.89,VALID,0
CB2005792,2025-01-31,McKesson,CUST1037,GPO,00378410591,ABACAVIR 300 MG TABLET,G,EA,844,0.72723,0.54877,150.62,VALID,0
CB2011213,2025-02-17,CardinalHealth,CUST1010,IDN,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,524,6.69193,4.66963,1059.69,VALID,0
CB2007852,2024-08-07,Cencora,CUST1047,340B,00186504031,ESOMEPRAZOLE BRAND 40 MG CAP,B,EA,2925,12.61133,5.72554,20140.94,VALID,0
CB2005646,2025-03-07,McKesson,CUST1034,340B,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,1367,6.69193,2.82734,5282.89,VALID,0
CB2000820,2024-07-26,CardinalHealth,CUST1032,GPO,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,4506,1740.91629,1126.89511,2766779.44,VALID,0
CB2005734,2024-09-07,CardinalHealth,CUST1000,GPO,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,2330,0.08208,0.06383,42.52,VALID,0
CB2000035,2024-07-09,CardinalHealth,CUST1042,340B,00378410591,ABACAVIR 300 MG TABLET,G,EA,3345,0.72723,0.42318,1017.05,VALID,0
CB2009318,2024-10-25,Cencora,CUST1049,IDN,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,990,0.08208,0.06451,17.39,VALID,0
CB2011183,2025-05-03,McKesson,CUST1042,340B,50268004911,ABACAVIR 300 MG TABLET,G,EA,3587,0.66792,0.38866,1001.71,VALID,0
CB2001336,2024-11-17,Cencora,CUST1045,GPO,51672206200,3-DAY VAGINAL CREAM,G,GM,1894,0.33373,0.2212,213.13,VALID,0
CB2008908,2025-02-27,CardinalHealth,CUST1040,IDN,70000060701,24HR ALLERGY-CONGST 180-240 MG,G,EA,936,1.00093,0.84468,146.25,VALID,0
CB2005506,2024-12-10,McKesson,CUST1030,IDN,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,4015,1.60408,1.30171,1214.02,VALID,0
CB2002140,2025-03-28,Cencora,CUST1030,IDN,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,1697,1740.91629,1276.43982,788216.57,VALID,0
CB2001433,2024-11-28,McKesson,CUST1022,GPO,00378410591,ABACAVIR 300 MG TABLET,G,EA,3997,0.72723,0.56651,642.4,VALID,0
CB2010394,2024-07-21,CardinalHealth,CUST1032,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,2647,0.81871,0.60576,563.68,VALID,0
CB2000649,2024-07-16,McKesson,CUST1007,GPO,00378410591,ABACAVIR 300 MG TABLET,G,EA,1326,0.72723,0.55364,230.18,VALID,0
CB2006763,2025-03-12,Cencora,CUST1046,340B,51672206200,3-DAY VAGINAL CREAM,G,GM,2519,0.33373,0.16623,421.93,VALID,0
CB2008426,2024-12-12,Cencora,CUST1022,GPO,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,4253,43.29511,25.37526,76213.12,VALID,0
CB2000223,2024-07-18,McKesson,CUST1019,GPO,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,1694,1.60408,1.15173,766.28,VALID,0
CB2007990,2025-04-28,Cencora,CUST1035,GPO,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,3306,1.60408,1.20162,1330.53,VALID,0
CB2001544,2025-01-07,McKesson,CUST1011,GPO,00378410591,ABACAVIR 300 MG TABLET,G,EA,1025,0.72723,0.54033,191.57,VALID,0
CB2008396,2024-08-14,Cencora,CUST1003,GPO,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,4944,0.08208,0.06451,86.87,VALID,0
CB2000847,2024-06-19,CardinalHealth,CUST1005,340B,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,4833,0.08208,0.04619,173.46,VALID,0
CB2009018,2024-09-15,CardinalHealth,CUST1037,GPO,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,1112,43.29511,28.4319,16527.89,VALID,0
CB2007169,2024-12-15,CardinalHealth,CUST1001,GPO,50268004911,ABACAVIR 300 MG TABLET,G,EA,4566,0.66792,0.50949,723.39,VALID,0
CB2010736,2025-02-11,CardinalHealth,CUST1056,GPO,70000036201,24HR ALLERGY(LEVOCETIRZN) 5 MG,G,EA,757,0.22114,0.16754,40.58,VALID,0
CB2008322,2024-11-13,CardinalHealth,CUST1033,GPO,50268004911,ABACAVIR 300 MG TABLET,G,EA,840,0.66792,0.54202,105.76,VALID,0
CB2011867,2024-08-22,McKesson,CUST1027,IDN,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,636,0.81871,0.62287,124.55,VALID,0
CB2011277,2025-01-23,McKesson,CUST1055,GPO,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,9414,1.60408,1.19039,3894.48,QTY_OUTLIER,1
CB2006980,2024-11-10,McKesson,CUST1046,340B,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,157,0.81871,0.4078,64.51,VALID,0
CB2003057,2024-10-01,Cencora,CUST1016,IDN,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,4224,1740.91629,1114.36052,2646571.57,VALID,0
CB2010901,2025-03-22,McKesson,CUST1013,GPO,00186504031,ESOMEPRAZOLE BRAND 40 MG CAP,B,EA,573,12.61133,7.64373,2846.43,VALID,0
CB2005620,2025-04-14,McKesson,CUST1001,GPO,51672206200,3-DAY VAGINAL CREAM,G,GM,2957,0.33373,0.25457,234.08,VALID,0
CB2003812,2024-07-26,Cencora,CUST1030,IDN,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,1733,1.60408,1.30171,524.01,VALID,0
CB2003077,2024-06-04,Cencora,CUST1009,IDN,70000036201,24HR ALLERGY(LEVOCETIRZN) 5 MG,G,EA,2858,0.22114,0.17134,142.33,VALID,0
CB2007153,2024-06-01,CardinalHealth,CUST1021,GPO,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,1536,43.29511,28.79125,22277.93,VALID,0
CB2003290,2025-04-28,CardinalHealth,CUST1051,340B,70000060701,24HR ALLERGY-CONGST 180-240 MG,G,EA,4640,1.00093,0.55341,2076.49,VALID,0
CB2002048,2025-03-16,Cencora,CUST1006,IDN,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,1418,6.69193,4.60405,2960.61,VALID,0
CB2010511,2025-05-04,CardinalHealth,CUST1055,GPO,31722055760,ABACAVIR 300 MG TABLET,G,EA,1536,0.72957,0.54141,289.01,VALID,0
CB2000384,2025-03-03,McKesson,CUST1051,340B,00186504031,ESOMEPRAZOLE BRAND 40 MG CAP,B,EA,2685,12.61133,5.07984,20222.05,VALID,0
CB2000856,2024-10-10,McKesson,CUST1009,GPO,00186504031,ESOMEPRAZOLE BRAND 40 MG CAP,B,EA,771,12.61133,8.66398,3043.41,INELIGIBLE_MEMBER,1
CB2011051,2024-06-26,Cencora,CUST1054,GPO,70000036201,24HR ALLERGY(LEVOCETIRZN) 5 MG,G,EA,886,0.22114,0.15971,54.43,VALID,0
CB2001937,2024-12-10,McKesson,CUST1056,GPO,31722055760,ABACAVIR 300 MG TABLET,G,EA,1710,0.72957,0.55272,302.41,VALID,0
CB2009694,2024-08-06,McKesson,CUST1032,GPO,31722055760,ABACAVIR 300 MG TABLET,G,EA,4819,0.72957,0.53981,914.45,VALID,0
CB2006009,2024-06-16,CardinalHealth,CUST1033,GPO,31722055760,ABACAVIR 300 MG TABLET,G,EA,3138,0.72957,0.59205,431.54,VALID,0
CB2011146,2024-06-12,Cencora,CUST1046,340B,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,658,1740.91629,796.29511,621560.74,VALID,0
CB2009663,2024-10-16,McKesson,CUST1058,IDN,00378410591,ABACAVIR 300 MG TABLET,G,EA,4544,0.72723,0.62011,486.75,VALID,0
CB2011942,2025-02-13,CardinalHealth,CUST1005,340B,31722055760,ABACAVIR 300 MG TABLET,G,EA,4080,0.72957,0.41053,1301.68,VALID,0
CB2009746,2024-07-06,Cencora,CUST1032,IDN,00071015523,ATORVASTATIN BRAND 40 MG TAB,B,EA,1066,6.69193,4.33169,2516.02,INELIGIBLE_MEMBER,1
CB2005812,2024-08-26,Cencora,CUST1045,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,1150,0.81871,0.54264,317.48,VALID,0
CB2002305,2025-05-13,CardinalHealth,CUST1032,GPO,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,2436,1.60408,1.18686,1016.35,VALID,0
CB2005199,2024-10-19,McKesson,CUST1022,GPO,00074379902,ADALIMUMAB 40 MG/0.8ML SYRINGE,B,ML,4175,1740.91629,1020.35104,3008359.92,VALID,0
CB2005332,2024-10-23,McKesson,CUST1058,IDN,00378410591,ABACAVIR 300 MG TABLET,G,EA,4970,0.72723,0.62011,532.39,VALID,0
CB2000479,2024-10-04,CardinalHealth,CUST1052,340B,70000060701,24HR ALLERGY-CONGST 180-240 MG,G,EA,1990,1.00093,0.57343,850.73,VALID,0
CB2010577,2025-05-29,Cencora,CUST1009,IDN,46122006271,8 HOUR ACETAMINOPHEN ER 650 MG,G,EA,3060,0.08208,0.0636,56.55,VALID,0
CB2002080,2024-12-06,CardinalHealth,CUST1030,IDN,50268004911,ABACAVIR 300 MG TABLET,G,EA,3136,0.66792,0.54202,394.82,VALID,0
CB2010019,2024-10-26,McKesson,CUST1052,340B,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,1041,0.81871,0.46904,364.01,VALID,0
CB2008672,2025-02-26,McKesson,CUST1042,340B,31722055760,ABACAVIR 300 MG TABLET,G,EA,16527,0.72957,0.42454,5041.23,QTY_OUTLIER,1
CB2008891,2025-03-09,McKesson,CUST1013,GPO,50268004911,ABACAVIR 300 MG TABLET,G,EA,3876,0.66792,0.48418,712.18,VALID,0
CB2003014,2024-07-09,CardinalHealth,CUST1041,IDN,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,GM,1359,0.81871,0.6729,198.16,UNIT_MISMATCH,1
CB2007137,2024-10-22,CardinalHealth,CUST1015,340B,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,4132,43.29511,21.39211,90503.2,VALID,0
CB2010232,2025-02-13,Cencora,CUST1035,GPO,46122038576,24H NASAL ALLERGY 55 MCG SPRAY,G,ML,2443,0.81871,0.6133,501.82,VALID,0
CB2002245,2025-04-19,McKesson,CUST1050,340B,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,4835,1.60408,0.87968,3502.47,VALID,0
CB2001282,2025-04-21,Cencora,CUST1018,GPO,42385096230,ABACAVIR-LAMIVUDINE 600-300 MG,G,EA,4586,1.60408,1.2422,1659.58,VALID,0
CB2000448,2024-11-06,McKesson,CUST1004,IDN,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,4049,43.29511,29.44067,56096.63,VALID,0
CB2002206,2024-07-23,Cencora,CUST1000,GPO,70000036201,24HR ALLERGY(LEVOCETIRZN) 5 MG,G,EA,13589,0.22114,0.17196,668.31,QTY_OUTLIER,1
CB2005402,2024-06-01,Cencora,CUST1015,340B,31722055760,ABACAVIR 300 MG TABLET,G,EA,4037,0.72957,0.38733,1381.62,VALID,0
CB2007319,2024-07-21,Cencora,CUST1045,GPO,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,4983,43.29511,28.61807,73135.69,VALID,0
CB2001124,2025-05-25,Cencora,CUST1053,GPO,00088502101,INSULIN GLARGINE 100 UNIT/ML,B,ML,521,43.29511,27.51837,8219.68,VALID,0
CB2007025,2024-10-16,Cencora,CUST1015,340B,31722055760,ABACAVIR 300 MG TABLET,G,EA,2740,0.72957,0.38733,937.74,VALID,0
